taurat,	ট্যারাট,	তওরাত,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
pachchen,	পাচ্ছেন,	পাচ্ছেন,	
plainey,	প্লেনে,	প্লেনে,	
seconder,	সেকোন্ডার,	সেকেন্ডের,	
abadamaner,	আবাদমানের,	অবদমনের,	
minishtara,	মিনিস্টার,	মিনিস্টার,	
stane,	স্তন,	স্টোন,	
hafez,	হাফেজ,	হাফেয,	
vittiow,	ভিট্টিও,	ভিত্তিও,	
swarnali,	স্বর্ণালি,	স্বর্ণালী,	
eshtoniya,	এস্টেনিয়া,	এস্তোনিয়া,	
noveel,	নোভিল,	নভেল,	
modhumotii,	মধুমতি,	মধুমতী,	
graambasheeo,	গ্রাম্বাসীও,	গ্রামবাসীও,	
canservatian,	ক্যানরাবেশন,	কনসারভেশন,	
agiboner,	আগিবানের,	আজীবনের,	
dhan,	ধন,	ধ্যান,	
ovisongson,	অভিসংসন,	অভিশংসন,	
subade,	সুবাদে,	সুবাদে,	
dajyo,	দাজ্য,	দাহ্য,	
moshzid,	মস্জিদ,	মসজিদ,	
doneta,	ডোনেটা,	ডোনাট,	
nartana,	নার্টন,	নর্টন,	
garjon,	গর্জন,	গর্জন,	
mukhmondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
omkar,	অম্কার,	ওঙ্কার,	
taufik,	টফিক,	তৌফিক,	
chhutochhooti,	ছুটোছুটি,	ছুটোছুটি,	
muladee,	মুলাদী,	মুলাদি,	
orbeet,	অর্বিত,	অরবিট,	
sammatitey,	সমমতিতে,	সম্মতিতে,	
tyuner,	টিউনের,	টিউনার,	
municipal,	মুনিসিপাল,	মিউনিসিপ্যাল,	
markete,	মার্কেটে,	মার্কেটে,	
rob,	রব,	রব,	
iviem,	ইভিম,	ইভিএম,	
tenise,	ট্যানিসে,	টেনিসে,	
leaders,	লিডার্স,	লিডার্স,	
dephinesana,	ডেফিনেশন,	ডেফিনেশন,	
bikretader,	বিক্রেতাদের,	বিক্রেতাদের,	
farn,	ফর্ন,	ফার্ন,	
deliwer,	ডিলিভের,	ডেলিভার,	
sofy,	শফি,	সোফি,	
deil,	ডেল,	ডেইল,	
maldava,	মালদদা,	মলদোভা,	
ivil,	ইভিল,	ইভিল,	
inphormation,	ইনফর্মেশন,	ইনফরমেশন,	
aboshorer,	অবশরের,	অবসরের,	
beeseshyer,	বিশেষের,	বিশেষ্যের,	
cholocchitro,	চলচিত্র,	চলচ্চিত্র,	
ghoomachhilo,	ঘুমাচিল,	ঘুমাচ্ছিল,	
stalin,	স্ত্যালিন,	স্টালিন,	
nathivooktir,	নথিভূক্তির,	নথিভুক্তির,	
karecho,	করেছ,	করেছো,	
ssteit,	স্টেট,	স্টেইট,	
bitlaser,	বিটলাসের,	বিটলসের,	
nothibhukta,	নথিভূক্ত,	নথিভুক্ত,	
olympiker,	অলিম্পিকের,	অলিম্পিকের,	
nebhatey,	নেভাতে,	নেভাতে,	
chalochchitrai,	চলচিত্র্যে,	চলচ্চিত্রই,	
gonohotyar,	গণহত্যার,	গণহত্যার,	
byan,	ব্যান,	ব্যাং,	
pachok,	পাঁক,	পাচক,	
pravura,	প্রভূরা,	প্রভুরা,	
ohong,	অহং,	অহং,	
progress,	প্রোগ্রেস,	প্রগ্রেস,	
bastubad,	বস্তুবাদ,	বস্তুবাদ,	
saainyo,	সৈন্য,	সৈন্য,	
bamni,	বাম্নি,	বামনী,	
easter,	ইস্টার,	ইস্টার,	
iispredsheet,	ইশ্পেরেজ,	স্প্রেডশীট,	
sitting,	শিটিং,	সিটিং,	
basalt,	বালা্ট,	ব্যাসল্ট,	
bhangchur,	ভাঙচুর,	ভাংচুর,	
konflikt,	কানফ্লিক্ট,	কনফ্লিক্ট,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
jackey,	যাকি,	জকি,	
bishwashe,	বিশ্বাসে,	বিশ্বাসে,	
bisnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
wrighter,	র্রাইটার,	রাইটের,	
hepara,	হেপার,	হাইপার,	
gujob,	গুজব,	গুজব,	
mache,	ম্যাচে,	মাছে,	
mukhabandho,	মুখবন্ধ,	মুখবন্ধ,	
arasie,	আরসি,	আরসিএ,	
durgotsob,	দুর্গটস,	দুর্গোৎসব,	
maithili,	মাইথিলি,	মৈথিলি,	
vangle,	ভাঙলে,	ভাঙলে,	
samanyoi,	সামান্যই,	সামান্যই,	
hizrite,	হিজরিতে,	হিজরীতে,	
prachuryer,	প্রচুর্যের,	প্রাচুর্যের,	
kunti,	কুন্তি,	কুন্তী,	
nirorthak,	নিরর্থক,	নিরর্থক,	
krus,	ক্রাশ,	ক্রুশ,	
estooniya,	এস্টোনিয়া,	এস্তোনিয়া,	
nyata,	ন্যাট,	ম্যাট,	
udvaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
jaak,	যাক,	জাঁক,	
eksathei,	একসাথেই,	একসাথেই,	
gezeteda,	জেজেটেড,	গেজেটেড,	
chetonagoto,	চেতনাগত,	চেতনাগত,	
manushi,	মানুষি,	মানুষী,	
dorgaaho,	দরগাহ,	দরগাহ,	
rightsh,	রাইটস,	রাইটস,	
osontos,	অসন্ত্ষ,	অসন্তোষ,	
grambasider,	গ্রাম্বাসীদের,	গ্রামবাসীদের,	
ghotleo,	ঘটলেও,	ঘটলেও,	
definision,	ডেফিনিশন,	ডেফিনেশন,	
rites,	রাইটিস,	রিতেশ,	
uthe,	উঠে,	উঠে,	
mittrota,	মিট্রতা,	মিত্রতা,	
bhittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
korusher,	ক্রুসের,	ক্রুশের,	
platey,	প্লেটে,	প্লেটে,	
laaz,	লাজ,	লাজ,	
manushgulor,	মানুুসগুলোর,	মানুষগুলোর,	
buildar,	বিল্ডার,	বিল্ডার,	
azimkey,	আজিমকে,	আজিমকে,	
utkhaat,	উৎখাত,	উত্খাত,	
seema,	সীম,	সীমা,	
oxforde,	অক্ফোর্ডে,	অক্সফোর্ডে,	
saralya,	সরল্য,	সারল্য,	
phoxkon,	ফক্ষন,	ফক্সকন,	
bondhubhabapanno,	বন্ধুবভ্যাপন্ন,	বন্ধুভাবাপন্ন,	
scholastik,	স্কলাস্টিক,	স্কলাস্টিক,	
spreeadsheet,	স্প্রেশশেত,	স্প্রেডশীট,	
dito,	দিত,	দিতো,	
blaker,	ব্লকের,	ব্ল্যাকের,	
nirupita,	নিরূপিতা,	নিরূপিত,	
jubokder,	যুবকদের,	যুবকদের,	
shotokeo,	শতকেও,	শতকেও,	
mousum,	মৌসুম,	মৌসুম,	
charrjer,	চার্জের,	চার্জের,	
injiniyarim,	ইনজিনিরাই,	ইঞ্জিনিয়ারিং,	
phood,	ফুদ,	ফুড,	
siter,	সাইটের,	সিটের,	
oitijjer,	ঐতিজার,	ঐতিহ্যের,	
jibnagore,	জিবনগরে,	জীবননগর,	
shrabosti,	স্রবর্ষীতি,	শ্রাবস্তী,	
shreemati,	শ্রীমতী,	শ্রীমতি,	
pingnaa,	পিঙ্গা,	পিংনা,	
pushtir,	পুষ্টির,	পুষ্টির,	
salil,	সালিল,	সলিল,	
nathibhookto,	নথিভূক্ত,	নথিভুক্ত,	
baharampurer,	বহরামপুরের,	বহরমপুরের,	
abosore,	অবসরে,	অবসরে,	
shpredashhita,	স্প্রোদশিত,	স্প্রেডশীট,	
suiti,	স্যুটি,	সুইটি,	
harja,	হার্জ,	হার্জ,	
lutharana,	লুটারনা,	লুথেরান,	
motion,	মোশন,	মোশন,	
ketechhilo,	কেটেছিল,	কেটেছিল,	
netherland,	নেদারল্যান্ড,	নেদারল্যান্ড,	
harta,	হার্ট,	হার্ট,	
aakaabar,	আকাবার,	আকাবার,	
bhangchoor,	ভাঙচুর,	ভাংচুর,	
kurdider,	কুরদিডের,	কুর্দিদের,	
everest,	এভারেস্ট,	এভারেস্টে,	
carpete,	কার্টেট,	কার্পেটে,	
gotibege,	গতিবেগে,	গতিবেগে,	
karor,	কার়,	কারোর,	
octane,	অক্টানে,	অকটেন,	
edaning,	এডানিং,	ইদানিং,	
karore,	কাররে,	কারোর,	
ekaatto,	একাত্ম,	একাত্ব,	
siddhantai,	সিদ্ধান্তই,	সিদ্ধান্তই,	
jotharthovabey,	যথার্থভাবে,	যথার্থভাবে,	
ballroom,	বললুম,	বলরুম,	
babilon,	বেবিলন,	ব্যাবিলন,	
phutantoa,	ফুটন্ট,	ফুটন্ত,	
thakani,	ঠাকানি,	থাকেনি,	
ghensha,	ঘেন্স,	ঘেঁষা,	
ajeeja,	অজেজা,	আজিজা,	
orthonitir,	অর্থনীতির,	অর্থনীতির,	
noitikata,	নৈতিকতা,	নৈতিকতা,	
bishwashke,	বিশ্বাসকে,	বিশ্বাসকে,	
atma,	আত্মা,	আত্ম,	
arthurer,	আর্থুরের,	আর্থারের,	
hertj,	হার্টজ,	হার্জ,	
valapuk,	ভালাপুক,	ভোলাপুক,	
shatjon,	সৎজন,	সাতজন,	
helly,	হেলি,	হিলি,	
bolatkar,	বলাটকার,	বলাৎকার,	
tafsherer,	তাফসারের,	তাফসীরের,	
statione,	স্টেশনে,	ষ্টেশনে,	
scorey,	স্কোরে,	স্কোরে,	
gonosochetonota,	গণসোচ্যতান,	গণসচেতনতা,	
dharmee,	ধর্মী,	ধর্মী,	
nischay,	নিশ্চে,	নিশ্চয়,	
toranganj,	তরঙ্গঞ্জ,	তোরাবগঞ্জ,	
onekerie,	অনেকারী,	অনেকেরই,	
sanaktakaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
yathaarthabhaabe,	যথার্থভাবে,	যথার্থভাবে,	
okritokarjo,	অকৃতকরা,	অকৃতকার্য,	
bidrup,	বিদ্রুপ,	বিদ্রূপ,	
mozlish,	মজলিস,	মজলিশ,	
elaakati,	এলাকাটি,	এলাকাটি,	
parikha,	পরীক্ষা,	পরিখার,	
sinaake,	সিনাকে,	সিনাকে,	
tinbhager,	তিনভাগের,	তিনভাগের,	
nadimatrik,	নাদীমাত্রিক,	নদীমাতৃক,	
rajtantre,	রাজাত্ত্রের,	রাজতন্ত্রে,	
bisnukey,	বিষ্ণুকে,	বিষ্ণুকে,	
itastata,	ইটস্টট,	ইতস্তত,	
teentir,	তিনটির,	তিনটির,	
shikkhakke,	শিক্ষককে,	শিক্ষককে,	
ongkita,	অংকিত,	অঙ্কিতা,	
saurse,	সর্সে,	সোর্স,	
diana,	ডায়া,	ডায়না,	
amanisa,	অ্যানিন,	অমানিশা,	
shima,	সিম,	সীমা,	
vagadada,	ভাগাদা,	বাগদাদ,	
beshirbhaagei,	বেশীরভাগেই,	বেশিরভাগেই,	
internship,	ইন্টার্নশীপ,	ইন্টার্নশিপ,	
transcom,	ট্রান্সকো,	ট্রান্সকম,	
haraten,	হারাতেন,	হারাতেন,	
aminool,	আমিনুল,	আমিনুল,	
aashirbaad,	আশীর্বাদ,	আশির্বাদ,	
agibon,	আগিবন,	আজীবন,	
madhobi,	মাধবী,	মাধবীর,	
daaktikiter,	দাক্ষিকিতের,	ডাকটিকিটের,	
tooku,	টুকু,	টুকু,	
labanaktatar,	লবনাক্ততা,	লবণাক্ততার,	
roopdaan,	রূপদান,	রুপদান,	
dhwajbhango,	ধ্বজাঙ্গ,	ধ্বজভঙ্গ,	
ruby,	রুবি,	রুবী,	
rayyaleti,	রেয়েলিটি,	রয়্যালটি,	
chalabe,	চালাবি,	চালাবে,	
gandhikey,	গান্ধিকে,	গান্ধীকে,	
arjora,	অর্জরা,	আর্যরা,	
install,	ইনস্টল,	ইন্সটল,	
dinifition,	ডিনিফিন,	ডেফিনেশন,	
bohoodin,	বহুদিন,	বহুদিন,	
shakara,	শককরা,	সাকার,	
madhobikey,	মাধবীকে,	মাধবীকে,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
mukhamandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
digreeke,	ডিগ্রীক,	ডিগ্রিকে,	
dweepgoolo,	দ্বিপুলো,	দ্বীপগুলো,	
visnu,	ভিষ্ণু,	বিষ্ণু,	
odhuna,	অধুনা,	অধুনা,	
prakalpati,	প্রকল্পটি,	প্রকল্পটি,	
tuleche,	তুলেছে,	তুলেছে,	
tecnocrat,	টেকন্য্রাট,	টেকনোক্র্যাট,	
tarunra,	তারুণ্র,	তরুণরা,	
whole,	হোলে,	হোল,	
shajano,	সাজান,	সাজানো,	
jank,	জ্যাংক,	জাঁক,	
colahol,	চলাহল,	কোলাহল,	
gananatyo,	গণনোত্য,	গণনাট্য,	
jawhar,	জওহর,	জহর,	
nagorikderkey,	নাগরিকদেরকে,	নাগরিকদেরকে,	
laaishheshh,	লাইসেস,	লাইসেন্স,	
nirapottamulok,	নিরাপ্ততমূলক,	নিরাপত্তামূলক,	
